unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
25,0,0,0,0,0,0,0,0,0,0,0.16223708579197024,0.4516587904782604,1.5020379821960066,0.20114435523018703,0.2849828136182595,0.9057915344814844,0.006233507705314351,0,0,0
26,0,0,0,0,0,0,0,0,0.015263150322027224,0.015263150322027224,0.8100089319793956,4.142597853949214,4.394571098912958,8.08654307205588,2.983310221266474,0.7635346927514421,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0.14244841755346835,1.8601277453162308,2.3805816294054805,6.030209805729489,0.4087802313354364,0.6000336175186362,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0.1648764769065521,0.3315431435732188,0.42072942300165966,2.059895979705905,0.008012820512820516,0,0,0,0,0,0,0
