unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
25,0,0,0,0,0,0,0,0,0,0,0.16223708579197024,0.4516587904782604,1.5020379821960066,0.20114435523018703,0.2849828136182595,0.9057915344814844,0.006233507705314351,0,0,0
26,0,0,0,0,0,0,0,0,0.015263150322027224,0.015263150322027224,0.8100089319793956,4.142597853949214,4.394571098912958,8.08654307205588,2.983310221266474,0.7635346927514421,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0.14244841755346835,1.8601277453162308,2.2968316294054802,5.946459805729488,0.4087802313354364,0.6000336175186362,0,0,0,0,0
28,0,0,0,0,0,0,0.24599358974358976,0.4919871794871795,0.816330556655785,0.67536334245052,1.1499150795948985,3.437579637867534,0.2584548088329227,0.24599358974358973,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0.7250408128523871,1.0359447882116466,1.7157154816659348,3.3939195062289427,0.042525625835068276,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0.011480415673706385,0.1532733294209158,0.6999776721472475,0.8116726879255945,0.5040120403351328,0.0953045958694007,0,0,0,0,0,0,0,0
32,0,0,0,0,0.09253971766952102,0.9302035098804785,3.774620959862254,7.890446799713006,6.525717817263774,2.390502408995177,0.6130317910302057,0,0,0,0,0,0,0,0,0
33,0,0,0.004448398576512458,0.5306292871853421,1.3376825767680813,3.3853633940182517,7.124585276210346,2.1877945411541,0.34637993882544427,0.5971694405422125,0,0,0,0,0,0,0,0,0,0
34,0,0,0,2.329636410411165,3.480884207539807,5.517382274175668,1.6486872866344748,0.3315431435732188,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0.9062135872935548,0,0.16666666666666666,0.18997000705716302,0.008012820512820514,0,0,0,0,0,0,0,0,0,0,0,0
