unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
14,0,0,0,0,0,0,0,0,0,0,0,0.371275,0,0,0.365733674215625,0.369418625,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0.3127128660625,0.4975,0.31448513339605827,0,0,0.4479670621946372,0.24260333722969793,0,0,0.24504768791666667,0.24504768791666667
16,0,0,0,0,0,0,0,0,0,0.34893268084382917,0.5946755418739045,1.2033472956275728,0.21438320964989044,0.621651175,1.1839469912159633,0.7752660127755729,0.6936847963311434,0.314133131206375,0.6458924219561435,0.3333333333333333
17,0,0,0,0,0,0.1457986625,0,0.1457986625,0,0.9450337109789448,1.3776359964442482,1.9493560796928284,0.69295124638315,3.1897456461763207,2.2692132798957947,2.224388149521845,1.2833333333333332,1.0,1.0333333333333332,0.19999999999999998
18,0,0,0,0,0,0.25,0,0.5,0,1.2,1.671881164659352,2.461881164659352,0.8,1.705214497992685,1.5472182426729353,1.2699999999999998,0.77,0.6,0.62,0.12
19,0,0,0,0,0,0.15,0,0.3,0,0.72,0.9099999999999999,1.2399999999999998,0.48,0.9299999999999998,0.8099999999999999,0.69,0.39,0.36,0.3,0
20,0,0,0,0,0,0.09,0,0.18,0,0.36,0.41999999999999993,0.6899999999999998,0.18,0,0.09,0,0,0,0,0
