unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
19,0,0.4255491446302716,0.025727567302885956,0.011848074775278196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08679686908948492,0.3281916550012857
20,8.519364410391855,3.372976934311144,0.40356632282032673,0.9990331493421807,0.1440798903055474,0.2658381418305421,0,0,0,0,0,0,0,0,0,0,0,0.5504977202123955,3.762813230841059,4.753647393365024
21,1.1481164428365278,3.300022221761201,0.5225041044016936,2.3362140636013486,2.3112950411087603,1.4729944749226285,0.57776508042495,0.2467561886015194,0,0,0,0,0,0,0,0,0.28794455344619846,0.5949180708222652,0.47757777957708103,0.5539144430274812
22,0,0.014700036775229,3.721276481860079,1.466518124976647,1.1162185991056814,0.4557128464889296,0,0.10688132187526314,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.6992602628089597,0.2594739331357462,3.1244896353769693,1.149864987493287,1.169980763408219,0.42720027142269146,0,0.09510532837670384,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0.3654905446822251,1.7418246258003318,0.41428435206194436,0.4044812026926563,0.3097893432465923,0,0,0,0,0,0,0,0,0,0,0,0
