unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,7.425680544316539e-05,0.20697447474676045,0.19308118432372265,0.42020662212181814,0.5083998943145023,0,0
24,0,0,0,0,0,0,0,0,0,0.00029671891194361867,0.00029671891194361867,0.23747658402157504,1.0359012082372918,3.979115315576206,5.594893342862551,9.7445774209683,3.5038107901375386,3.4326425095400945,0.7926311454963473,0
25,0,0,0,0,0,0,0,0,0,0,0.1161884648759087,0.7708578367087812,1.9779906198443036,4.539253838120851,9.169416543702276,1.0958820975457533,2.434823438077245,0.47106325999557364,0,0
26,0,0,0,0,0,0,0,0,0,0.007629948452595281,0.16019726581271163,0.641859012988391,1.8308605816603034,6.347435993984597,0.02441341740263472,0.9484889380349962,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0.599642889258826,0.25333865481135703,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0.3740852736577174,1.44721702474118,1.4406767411012145,0.6605006926613872,0.6951471877784554,1.0290101050288916,0.2641325801165465,0.24603111110834416,0,0,0,0,0
29,0,0,0,0,0,0,0.007803629568673851,0.8516388159873435,1.2095762795426401,2.2107309923080902,10.157251836813394,2.2949040622848833,2.681553285175048,0.41832445148868425,0.006668308830938423,0,0,0,0,0
30,0,0,0,0.00797482167215751,0.00797482167215751,0.24482702533523557,0.1365658362989324,0.42852640733253256,2.9057394433616515,9.22575930964966,1.7133892051844237,6.093823472744108,0.5391663921381412,0,0,0,0,0,0,0
31,0,0,0,0.007974821672157512,0.007974821672157512,0.3626452212202548,1.1801305526416803,3.7704568249417676,6.243544828525735,1.0794373730973614,0.07465565551373524,0,0,0,0,0,0,0,0,0
32,0,0,0,0.007974821672157512,0.13978322812001345,0.8802868890594244,2.9044641044710793,5.673275718068007,1.787952125497165,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0.021415872921047446,0.9925404760321173,2.1664031327468076,5.711791102541822,1.7188327743477498,0.3823366489829078,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0.9713489842652433,0,0.2533386548113571,0,0,0,0,0,0,0,0,0,0,0,0
