unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
13,0,0,0,0,0,0,0,0,0,0,0,0,0.02924423814087225,0.09510532837670384,0.8177367886406958,0.5356996244510926,0.2676423968808541,0.13382296798388638,0,0
14,0,0,0,0,0,0,0,0,0,0,0.22166834871758423,0.7385454935638631,2.589092829159062,5.473706828605342,2.810595887229389,1.9002584574255175,0.11281776241320271,0.09510532837670384,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0.2879232515888814,0.18274527234111254,0.4605958730589289,2.910316924477414,1.1955539261648291,1.5391352444188435,0.3835377044113786,0.2289282963605902,0
16,0.13381437268445895,0,0,0,0,0,0,0,0,0,0,0,0.3097893432465923,0.1168939922012973,0.5414812127919463,4.273221288941783,1.0424684284084162,1.6626425654988213,0.34102157802331323,0.13381437268445895
17,0.2918585945211962,0.158051445760943,0,0,0,0,0,0,0,0,0,0,0,0,0.18274527234111254,0.7052033549815253,4.105266458801097,1.7168028063686094,1.1721901898407228,0.28021954995725634
18,0.6570145707328479,0.5011622777015119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4043948467485853,3.2952708393633436,1.5553546132157687,0.8735792954638897
19,0.25552953255203836,0.4257005124392209,0.029098815634382956,0.011848074775278196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12247200903129636,2.798637434498454,1.1271085920140658
20,7.4653921262551535,3.035741104618734,0.40033026199364563,0.9990331493421807,0.1440798903055474,0.2658381418305421,0,0,0,0,0,0,0,0,0,0,0,0.23171580736288372,3.215976075472635,6.387957556682913
21,1.1481164428365278,2.976416139093089,0.5225041044016936,2.3362137863485963,2.3112950846835005,1.4729948393248615,0.577765444827183,0.24675637080263593,0,0,0,0,0,0,0,0,0,0,0,0.13884517680782468
22,0,0.014700036775229,3.7212755787566514,1.466518124976647,1.1162185991056814,0.4557128464889296,0,0.10688132187526314,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0.6992602628089597,0.2594739331357462,3.1244871788911808,1.1498625310074984,1.1699828058415283,0.4272023138560006,0,0.09510532837670384,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0.60733603201868,2.50383167013069,1.0424684284084162,1.4491486170471175,0.8385311465452099,0.2676423968808541,0.13381942889696777,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0.2821898155218967,1.075366502630572,3.867685429233191,1.676004818960468,1.4697766523543552,0.1128208282112842,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0.6162938152877816,2.243019995812553,1.4268675674979416,1.774597440462278,0.5501502052856708,0.2676338015814267,0.13381942889696777,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0.18274527234111254,0.3654905446822251,3.425566756238466,0.6492858699970125,0.640060265917703,0.2316825276436849,0,0,0,0,0,0,0,0,0
