unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,7.425680544316539e-05,0.20697447474676045,0.19308118432372265,0.42020662212181814,0.5083998943145023,0,0
24,0,0,0,0,0,0,0,0,0,0.00029671891194361867,0.00029671891194361867,0.23747658402157504,1.044181634542879,3.984122570305867,5.60744957453806,9.76702570600294,3.5045902779822797,3.4333539160876674,0.7926311454963473,0
25,0,0,0,0,0,0,0,0,0,0,0.117308235308017,0.33274561627886406,2.3658941666383915,4.732106217279757,9.3570692028814,1.0960278218582793,2.4347676799729796,0.47106325999557364,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0.016928289773460534,0.9453084789565067,1.4052158122404346,0.008517480108510122,0.9484889380349962,0,0,0,0
