unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
54,0,0,0,0.005135844134803922,0,0.006955044525061274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0.5,0.5,1.3199786669637206,5.384471175604442,2.7518560909079897,0.3735247597031268,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,1.9607843137254901,0,1.1296093136839154,0.9853187506158243,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0.00980392156862745,1.9136790562588277,1.0215813978510626,0.016129519048229554,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0.00980392156862745,0.00980392156862745,3.025330887292959,1.7259259543124579,1.665963126428089,0.9684542586750787,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0.4842271293375394,0.4842271293375394,2.906427454090569,1.8858587011608736,0.025949721322067656,0,0.010410957385857842,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0.5073039215686275,0.25,4.513794743859859,3.147022683718301,5.97164562100169,2.358464847832778,1.1176823948857832,0.5098039215686274,0,0,0,0,0,0
61,0,0,0,0,0,0,0.25,0.7475,0.25,3.4188708433559296,1.2303921568627452,4.097481440832426,1.201865129129033,0.5214767139185156,0.507340624692088,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,3.0697078922729126,0.7716827494278448,0.7374593715952598,0.19021065675340765,0,0,0,0
63,0,0,0,0,0,0,0,0.00952562392836731,0,0.00952562392836731,0,0,0,2.795884621161712,1.1552039362028372,0.3735247597031269,0,0,0,0
