unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
13,0,0,0,0,0,0,0,0,0,0,0,0.005660561601629903,0,0,0.008299019607843138,0,0.00980392156862745,0,0.2000145783220351,0.19021065675340765
14,0,0,0,0,0,0,0,0,0,1.2184542586750788,0.75,2.773648024548638,0.25,8.729921381564786,2.2277164284258966,1.7932969133808507,1.2342271293375393,1.0,0.5,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9803921568627451,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
