unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09129020601684557,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3038259200863518,3.1419540711090788,3.683690897008542,1.227361679867289,1.0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0.009239412089331094,1.5170883961298278,1.9917453910891212,0,0.9803921568627451,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0.5,0.9572461202039906,1.767932383454362,2.1697551126013934,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0.28154574132492116,2.2277318722156094,3.04744814069461,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0.9803921568627451,0,0,0,0,0,0,0,0
