unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
19,0,0.2524019607843137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005558558848039215
20,2.556206504738039,1.0741122369974923,0.018598734204387513,0.00980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18383071731883194
21,0,2.103292156862745,0.4975,0.009803921568627449,0.009803921568627449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9803921568627452,0.9803921568627452
22,0,0.25,2.462992156862745,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0.25,2.3422024877423993,0.7475,0.011023024877423994,0.009803921568627449,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0.25,1.9068767564910232,0.31217426874862375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
