unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09129020601684557,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3038259200863518,3.1419540711090788,3.683690897008542,1.227361679867289,1.0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0.009239412089331094,1.5170883961298278,1.9917453910891212,0,0.9803921568627451,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0.5,0.9572461202039906,1.7663446987729896,2.1681674279200207,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0.10168935495497829,2.0068898997729177,2.6565980639352675,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0.009803921568627453,0.17340385705085784,1.39886893303125,3.22436893303125,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0.48422712933753936,0.32692217239464805,4.820769157383358,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0.009803921568627453,0.02627809687928922,0.14883373816422477,0.6920269302435968,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0.8646484428443546,0.9658380835556277,2.0568551767538854,6.055790007548437,3.768188904745959,0.015772870662460567,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0.3804213135068153,0.8913572997656788,0.7706940755198761,2.4574549039597153,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0.5,0.6401442941216728,2.759735169965169,0,0,0,0,0,0,0,0,0,0,0,0,0
