unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
13,0,0,0,0,0,0,0,0,0,0,0,0.005660561601629903,0,0,0.008299019607843138,0,0.00980392156862745,0,0.2000145783220351,0.19021065675340765
14,0,0,0,0,0,0,0,0,0,0.6089268981441294,0.493426065588756,2.8665240349129766,0.25980392156862747,9.097068773077982,2.1185558222428815,1.7932969133808507,1.2342271293375393,1.0,0.5,0
15,0,0,0,0,0,0.031545741324921134,0.5,0.7815457413249212,0.25,2.3698827839377508,0.9177084243195623,5.354729876214398,0.75,0,1.7303921568627452,0,0,0,0,0
16,0,0,0,0,0,0,0.25,1.2303921568627452,0,2.2107843137254903,0.9803921568627452,1.2303921568627452,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
