unix_time,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09129020601684557,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3038259200863518,3.1419540711090788,3.683690897008542,1.227361679867289,1.0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0.009239412089331094,1.6636098955584966,2.13826689051779,0,0.9803921568627451,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0.5,1.4684542586750786,2.122168981826101,1.8925553478431096,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0.9803921568627452,0,0,0,0,0,0,0,0
