sensor,records,elapsed,unix_oldest,unix_newest,oldest,newest,minimum,maximum,min2,max2,min3,max3,
S0,,,,,,,,,0,1,,,
S1,,,,,,,,,0,1,,,
S2,,,,,,,,,0,1,,,
F0,,,,,,,,,0,1024,,,
F1,,,,,,,,,0,1024,,,
F2,,,,,,,,,0,1024,,,
